City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
139,akureyri,65.6835,-18.0878,6.96,87,100,7.2,IS,1689698654
140,rongelap,11.1635,166.8941,28.26,78,27,5.93,MH,1689698813
141,ntcheu,-14.8203,34.6359,15.11,47,5,1.25,MW,1689698813
142,bardai,11.65,7.2333,32.76,41,33,3.21,NG,1689698814
143,anadyr,64.75,177.4833,15.28,72,0,5.0,RU,1689698814
144,enewetak,11.3474,162.3373,28.34,79,55,5.82,MH,1689698814
145,dauphin,51.1494,-100.0502,19.08,77,0,2.57,CA,1689698814
146,lata,40.1629,-8.3327,23.93,36,0,4.37,PT,1689698814
147,lompoc,34.6391,-120.4579,26.08,75,40,2.57,US,1689698578
148,san antonio de pale,-1.4014,5.6325,23.47,84,38,5.46,GQ,1689698815
149,sabalgarh,26.25,77.4,33.34,58,100,1.25,IN,1689698815
150,nar'yan-mar,67.6713,53.087,19.29,77,91,1.78,RU,1689698815
151,vikulovo,56.8167,70.6107,18.3,98,99,3.25,RU,1689698815
152,ilulissat,69.2167,-51.1,10.01,81,40,3.09,GL,1689698815
153,choma,-16.8065,26.9531,13.84,45,22,3.01,ZM,1689698816
154,tura,25.5198,90.2201,24.71,95,98,1.91,IN,1689698816
155,show low,34.2542,-110.0298,31.67,23,0,0.45,US,1689698816
156,muynoq,43.7683,59.0214,28.0,30,17,2.97,UZ,1689698816
157,fortuna,40.5982,-124.1573,18.29,85,0,1.54,US,1689698816
158,at taj,24.2049,23.2857,36.47,13,2,6.71,LY,1689698816
159,ludwigsfelde,52.3,13.2667,26.02,41,0,1.54,DE,1689698817
160,harar,9.3094,42.1258,18.45,65,31,3.17,ET,1689698817
161,fale old settlement,-9.3852,-171.2468,27.6,79,100,3.82,TK,1689698817
162,porto belo,-27.1578,-48.5531,13.97,86,100,4.15,BR,1689698817
163,lusambo,-4.9667,23.45,28.16,25,6,1.18,CD,1689698817
164,ulanhot,46.0833,122.0833,20.02,90,4,1.41,CN,1689698817
165,antofagasta,-23.65,-70.4,17.6,54,2,4.05,CL,1689698763
166,olyokminsk,60.3736,120.4264,10.52,86,97,1.12,RU,1689698818
167,sitka,57.0531,-135.33,15.94,72,75,0.0,US,1689698818
168,nelson bay,-32.7167,152.15,15.0,85,5,5.81,AU,1689698818
169,tsiombe,-25.3,45.4833,20.51,85,0,5.46,MG,1689698818
170,charlotte amalie,18.3419,-64.9307,33.85,52,40,8.75,VI,1689698818
171,iqaluit,63.7506,-68.5145,6.85,93,100,1.54,CA,1689698560
172,acajutla,13.5928,-89.8275,31.9,53,97,1.86,SV,1689698819
173,polyarnyy,69.1989,33.4478,17.47,71,100,1.79,RU,1689698819
174,stutterheim,-32.5708,27.424,18.06,29,4,4.6,ZA,1689698819
175,egilsstadir,65.2653,-14.3948,10.95,66,75,6.17,IS,1689698820
176,carbonear,47.7332,-53.2148,29.3,83,61,6.85,CA,1689698715
177,holualoa,19.6228,-155.9522,23.91,82,20,6.17,US,1689698820
178,north bay,46.3168,-79.4663,21.08,63,40,4.63,CA,1689698401
179,coronel dorrego,-38.7187,-61.2873,9.94,29,61,4.54,AR,1689698820
180,thompson,55.7435,-97.8558,19.09,55,40,0.0,CA,1689698616
181,poronaysk,49.2167,143.1167,13.78,92,17,2.74,RU,1689698821
182,la passe,45.5549,-0.8967,28.13,58,1,7.76,FR,1689698821
183,itacare,-14.2775,-38.9967,26.26,58,4,2.82,BR,1689698821
184,nemuro,43.3236,145.575,13.0,93,100,1.28,JP,1689698821
185,point pedro,9.8167,80.2333,28.12,80,89,10.26,LK,1689698822
186,ha'il,27.5219,41.6907,39.01,12,0,8.23,SA,1689698822
187,nuku'alofa,-21.1333,-175.2,20.19,77,20,4.63,TO,1689698822
188,biskra,34.8504,5.7281,44.73,7,20,2.57,DZ,1689698822
189,east ballina,-28.8667,153.5833,12.67,91,64,4.1,AU,1689698823
190,richards bay,-28.783,32.0377,20.54,46,0,3.06,ZA,1689698823
191,tolanaro,-25.0319,46.9987,21.04,88,20,5.14,MG,1689698667
192,tateyama,34.9833,139.8667,25.18,92,100,4.19,JP,1689698823
193,sumbawanga,-7.9667,31.6167,19.89,48,0,0.0,TZ,1689698824
194,pipar,26.3856,73.5378,33.74,52,100,2.01,IN,1689698824
195,minas de marcona,-15.2119,-75.1103,17.08,60,29,5.28,PE,1689698824
196,carqueiranne,43.0953,6.073,37.95,54,0,3.6,FR,1689698824
197,wailua homesteads,22.0669,-159.378,25.44,90,75,6.17,US,1689698683
198,nuuk,64.1835,-51.7216,11.34,93,100,1.54,GL,1689698825
199,tashtagol,52.7657,87.8894,17.55,68,43,2.99,RU,1689698825
200,gaalkacyo,6.7697,47.4308,28.7,48,100,10.83,SO,1689698825
201,strelka,58.0728,93.0344,14.14,66,50,1.12,RU,1689698825
202,sunland park,31.7965,-106.58,36.63,17,0,5.14,US,1689698826
203,weno,7.4515,151.8468,25.97,94,100,2.06,FM,1689698826
204,wanning,18.8003,110.3967,27.24,92,91,2.49,CN,1689698826
205,ronneby,56.21,15.276,19.28,59,0,6.17,SE,1689698826
206,lihue,21.9789,-159.3672,25.77,85,75,6.17,US,1689698827
207,gaitania,3.0906,-75.6723,21.11,58,87,2.15,CO,1689698827
208,hopkinsville,36.8656,-87.4886,32.01,52,53,5.21,US,1689698827
209,gadzhiyevo,69.2551,33.3362,17.25,73,100,2.35,RU,1689698827
210,nabire,-3.3667,135.4833,23.87,93,69,2.41,ID,1689698828
211,aasiaat,68.7098,-52.8699,3.67,95,100,3.49,GL,1689698828
212,bhag,29.0415,67.8239,43.38,22,10,2.34,PK,1689698828
213,qaqortoq,60.7167,-46.0333,9.33,90,100,1.53,GL,1689698828
214,volterra,43.4003,10.86,33.2,39,3,3.8,IT,1689698828
215,jinchang,38.4953,102.1739,26.21,28,1,0.75,CN,1689698829
216,berezovo,63.9381,65.0419,20.76,53,64,2.46,RU,1689698829
217,ivdel',60.6911,60.4206,19.15,79,100,2.0,RU,1689698829
218,caleta de carquin,-11.0925,-77.6267,22.22,65,32,4.66,PE,1689698830
219,alaghsas,17.0187,8.0168,40.73,12,24,5.32,NE,1689698830
220,petra,30.3222,35.4793,27.4,23,0,4.04,JO,1689698830
221,ola,59.5833,151.2833,13.89,85,34,1.28,RU,1689698830
222,sinabang,2.4803,96.3801,26.11,85,100,2.07,ID,1689698831
223,aripuana,-9.1667,-60.6333,36.75,23,17,1.8,BR,1689698831
224,ponta delgada,37.7333,-25.6667,23.4,64,20,3.6,PT,1689698807
